SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO ANULADO E APURADO EM SEPARADO,VOTO BRANCO,VOTO NULO
AC,1473,TARAUACÁ,5,38.801939545614516,25576,12491,13085,2,NA,NA,NA,5267,NA,NA,NA,8292,NA,NA,NA,NA,NA,NA,167,368
AC,1490,XAPURI,2,39.6771052631579,11400,5583,5817,1,9,44,361,3482,574,32,82,4331,6,1,1,83,2,NA,91,468
AC,1490,XAPURI,2,39.6771052631579,11400,5583,5817,2,NA,NA,NA,3400,NA,NA,NA,4929,NA,NA,NA,NA,NA,NA,100,208
AC,1511,PLÁCIDO DE CASTRO,8,39.788587383299884,11461,5786,5675,1,32,80,527,1463,1113,39,107,5831,18,5,6,168,2,NA,131,389
AC,1511,PLÁCIDO DE CASTRO,8,39.788587383299884,11461,5786,5675,2,NA,NA,NA,1837,NA,NA,NA,6531,NA,NA,NA,NA,NA,NA,144,226
AC,1538,SENADOR GUIOMARD,8,39.60295837231057,17105,8650,8455,1,38,130,540,2078,1385,38,175,9070,34,6,7,316,1,NA,208,578
AC,1538,SENADOR GUIOMARD,8,39.60295837231057,17105,8650,8455,2,NA,NA,NA,2452,NA,NA,NA,10247,NA,NA,NA,NA,NA,NA,225,305
AC,1554,MANOEL URBANO,3,39.27709069493522,6793,3231,3562,1,4,25,202,1720,498,24,134,1979,1,NA,NA,52,1,NA,52,234
AC,1554,MANOEL URBANO,3,39.27709069493522,6793,3231,3562,2,NA,NA,NA,1621,NA,NA,NA,2274,NA,NA,NA,NA,NA,NA,57,146
AC,1570,ASSIS BRASIL,6,39.21568285015718,5726,2871,2855,1,5,29,98,1808,345,9,40,1955,10,2,4,20,2,NA,37,228
AC,1570,ASSIS BRASIL,6,39.21568285015718,5726,2871,2855,2,NA,NA,NA,1660,NA,NA,NA,2333,NA,NA,NA,NA,NA,NA,42,102
AL,27006,PARIPUEIRA,17,39.89196352841391,9432,4910,4522,1,25,94,486,2232,371,40,254,3188,29,3,2,88,1,NA,294,598
AL,27006,PARIPUEIRA,17,39.89196352841391,9432,4910,4522,2,NA,NA,NA,3164,NA,NA,NA,3554,NA,NA,NA,NA,NA,NA,141,448
AL,27014,ÁGUA BRANCA,39,40.70896625890577,14879,7660,7219,1,16,36,849,8092,143,25,336,668,25,1,3,18,3,NA,107,561
AL,27014,ÁGUA BRANCA,39,40.70896625890577,14879,7660,7219,2,NA,NA,NA,9520,NA,NA,NA,812,NA,NA,NA,NA,NA,NA,64,358
AL,27022,PARICONHA,39,40.165660468485875,8282,4215,4067,1,10,41,517,4901,80,13,226,278,30,1,1,15,1,NA,74,325
AL,27022,PARICONHA,39,40.165660468485875,8282,4215,4067,2,NA,NA,NA,5777,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,48,229
AL,27030,ANADIA,48,42.07103781812416,12613,6648,5965,1,20,54,506,5219,181,23,311,1610,20,3,4,27,NA,NA,215,636
AL,27030,ANADIA,48,42.07103781812416,12613,6648,5965,2,NA,NA,NA,6182,NA,NA,NA,1711,NA,NA,NA,NA,NA,NA,95,470
AL,27049,ESTRELA DE ALAGOAS,46,42.8361883446673,11620,6175,5445,1,14,26,424,5461,135,29,313,702,33,3,2,43,4,NA,182,595
AL,27049,ESTRELA DE ALAGOAS,46,42.8361883446673,11620,6175,5445,2,NA,NA,NA,6783,NA,NA,NA,851,NA,NA,NA,NA,NA,NA,60,367
AL,27057,ARAPIRACA,22,40.52846039804124,89039,48625,40414,1,252,532,10554,25101,2901,290,1871,24089,501,12,22,525,26,NA,2024,3989
AL,27057,ARAPIRACA,22,40.52846039804124,89039,48625,40414,2,NA,NA,NA,37584,NA,NA,NA,28533,NA,NA,NA,NA,NA,NA,1211,4041
AL,27057,ARAPIRACA,55,42.07459673543153,52015,29244,22771,1,162,303,6737,11565,1758,177,987,17093,463,6,10,346,15,NA,1057,2343
AL,27057,ARAPIRACA,55,42.07459673543153,52015,29244,22771,2,NA,NA,NA,19171,NA,NA,NA,19842,NA,NA,NA,NA,NA,NA,738,2456
AL,27065,JEQUIÁ DA PRAIA,18,39.729350220264315,7264,3585,3679,1,15,67,366,2218,197,25,144,2188,14,1,NA,35,2,NA,129,314
AL,27065,JEQUIÁ DA PRAIA,18,39.729350220264315,7264,3585,3679,2,NA,NA,NA,2639,NA,NA,NA,2184,NA,NA,NA,NA,NA,NA,60,262
AL,27073,ATALAIA,6,40.39039741646346,30353,15626,14727,1,50,274,1502,11004,1051,159,745,5700,59,9,2,113,8,NA,742,1349
AL,27073,ATALAIA,6,40.39039741646346,30353,15626,14727,2,NA,NA,NA,13524,NA,NA,NA,6287,NA,NA,NA,NA,NA,NA,380,1135
AL,27081,CAMPESTRE,53,38.999809523809525,5250,2663,2587,1,5,160,242,2249,41,9,116,663,7,NA,2,8,1,NA,97,243
AL,27081,CAMPESTRE,53,38.999809523809525,5250,2663,2587,2,NA,NA,NA,2594,NA,NA,NA,745,NA,NA,NA,NA,NA,NA,69,209
AL,27090,BARRA DE SANTO ANTÔNIO,17,39.37129144851658,11460,5951,5509,1,21,121,429,4035,312,38,215,2608,31,3,1,57,2,NA,326,596
AL,27090,BARRA DE SANTO ANTÔNIO,17,39.37129144851658,11460,5951,5509,2,NA,NA,NA,4923,NA,NA,NA,2893,NA,NA,NA,NA,NA,NA,121,480
AL,27111,BARRA DE SÃO MIGUEL,26,40.06914153132251,6465,3346,3119,1,34,70,388,1796,270,37,117,2105,25,3,2,57,NA,NA,124,322
AL,27111,BARRA DE SÃO MIGUEL,26,40.06914153132251,6465,3346,3119,2,NA,NA,NA,2346,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,78,267
