SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
SP,61069,MOTUCA,239,44.43751665334399,3753,1889,1864,1,4,31,127,748,235,13,16,1215,99,0,2,16,3,74,151
MT,91049,SANTA RITA DO TRIVELATO,5,40.781925343811395,2036,933,1102,1,40,13,30,352,67,5,11,750,34,0,0,10,1,22,51
BA,37516,NAZARÉ,30,43.354537822964275,21443,11392,10042,2,0,0,0,12299,0,0,0,3186,0,0,0,0,0,222,913
MG,52230,SÃO FRANCISCO DE PAULA,197,44.80085324232082,5861,2895,2962,1,17,9,304,1739,460,18,39,1388,177,2,2,31,1,165,312
SP,72354,VERA CRUZ,180,43.994219653179194,7093,3704,3389,2,0,0,0,1426,0,0,0,4082,0,0,0,0,0,163,569
PI,10294,BATALHA,45,41.71684622445529,20700,10502,10198,2,0,0,0,11595,0,0,0,3441,0,0,0,0,0,174,729
SP,70777,SÃO CAETANO DO SUL,269,47.19267917901438,72888,40327,32493,2,0,0,0,13182,0,0,0,41712,0,0,0,0,0,1324,4430
MT,90603,LUCAS DO RIO VERDE,21,38.0961434640753,42603,21369,21234,1,285,313,1252,5425,643,75,215,21417,534,3,8,175,9,577,1210
MG,54097,URUCÂNIA,339,44.228206616366805,8615,4377,4215,1,19,92,498,2669,376,24,49,1868,124,4,1,29,4,228,616
RJ,58270,CONCEIÇÃO DE MACABU,51,45.11414790996785,17416,8860,8534,1,74,341,1743,2707,423,52,72,5741,165,7,12,112,4,452,1025
ES,56022,ÁGUA DOCE DO NORTE,23,42.80617529880478,10040,5079,4961,2,0,0,0,3822,0,0,0,3386,0,0,0,0,0,135,300
PR,74845,SÃO MANOEL DO PARANÁ,149,44.74550408719346,1835,913,922,2,0,0,0,437,0,0,0,1025,0,0,0,0,0,25,95
RS,86029,FAXINALZINHO,168,45.297853701270256,2283,1125,1158,2,0,0,0,725,0,0,0,991,0,0,0,0,0,41,102
PI,10782,GEMINIANO,62,41.422851919561246,5470,2783,2687,1,6,14,373,3355,52,15,45,444,10,0,0,13,2,101,301
AL,27910,MARAVILHA,50,40.735377116469984,7796,3977,3819,1,9,19,691,3300,135,10,112,740,15,3,0,23,3,91,412
GO,92231,ANHANGÜERA,8,44.836190476190474,1050,500,550,2,0,0,0,391,0,0,0,374,0,0,0,0,0,6,46
MG,48330,MESQUITA,176,45.33012179603708,5501,2741,2757,1,12,35,164,1142,176,2,16,1717,54,1,2,8,4,128,295
MG,46078,IJACI,160,44.320115495668915,5195,2616,2576,2,0,0,0,1282,0,0,0,2334,0,0,0,0,0,158,617
MG,41920,CONFINS,215,43.43438619342234,6142,3074,3064,1,13,56,564,836,266,21,43,2577,152,1,1,52,2,167,381
MG,40770,ARAÚJOS,298,44.921106077175445,6402,3195,3201,2,0,0,0,1234,0,0,0,3172,0,0,0,0,0,164,534
SP,64912,IBIRAREMA,83,45.65771543086172,4990,2560,2430,1,17,15,228,484,585,2,33,2150,61,2,0,13,1,162,192
SP,62430,BORÁ,12,44.183437221727516,1123,534,587,1,18,11,31,159,117,0,5,409,14,0,0,1,0,27,47
RS,87688,SANTO EXPEDITO DO SUL,103,48.583333333333336,2172,1085,1087,2,0,0,0,649,0,0,0,1030,0,0,0,0,0,99,86
PI,11070,JOAQUIM PIRES,85,39.60831552360598,10294,5158,5136,1,51,32,487,6043,267,13,84,1214,12,3,1,45,3,127,443
SC,81493,IPIRA,37,48.18581907090464,3681,1865,1816,2,0,0,0,1094,0,0,0,1767,0,0,0,0,0,53,154
RS,87149,MORRO REUTER,153,45.97106299212599,5080,2533,2547,1,34,18,247,479,212,13,95,2867,195,0,2,9,0,122,235
PB,21296,PICUÍ,25,41.99522776572668,13831,7207,6624,2,0,0,0,8274,0,0,0,2509,0,0,0,0,0,179,709
SC,83437,SCHROEDER,17,41.84319570725891,13418,6661,6757,2,0,0,0,1777,0,0,0,8937,0,0,0,0,0,173,501
