SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
SC,81612,ITAJAÍ,97,39.853635327849354,79869,41910,37959,2,0,0,0,12430,0,0,0,53150,0,0,0,0,0,1596,4431
RS,87009,MARIANA PIMENTEL,151,46.79478158897684,3411,1619,1792,1,10,6,217,647,335,9,115,1293,32,0,1,12,1,104,75
RJ,59030,SÃO PEDRO DA ALDEIA,59,44.453170366207736,64063,33152,30840,2,0,0,0,8363,0,0,0,34748,0,0,0,0,0,1003,3206
RS,84921,BOQUEIRÃO DO LEÃO,93,45.020674241013225,5369,2621,2748,1,29,16,504,1611,232,23,162,1778,66,0,0,8,0,161,109
PR,75035,CHOPINZINHO,103,43.75199949618994,15879,8133,7745,2,0,0,0,5633,0,0,0,6945,0,0,0,0,0,171,525
PR,74047,LINDOESTE,143,43.27355821545158,4595,2279,2316,2,0,0,0,2157,0,0,0,1460,0,0,0,0,0,54,81
MA,7056,ALDEIAS ALTAS,5,41.70595278823127,17538,8745,8791,1,15,37,537,8473,115,31,143,1693,24,1,0,53,6,161,1066
MA,8419,MORROS,110,40.80474169865966,14847,7248,7592,2,0,0,0,8239,0,0,0,1575,0,0,0,0,0,83,291
MA,8257,MAGALHÃES DE ALMEIDA,51,43.40316112290635,12718,6202,6512,2,0,0,0,6261,0,0,0,1697,0,0,0,0,0,105,277
GO,93530,FAZENDA NOVA,79,45.08624316365166,4754,2367,2387,2,0,0,0,1474,0,0,0,2019,0,0,0,0,0,42,196
MA,7897,GOVERNADOR EUGÊNIO BARROS,108,42.62887403420436,11520,5833,5680,2,0,0,0,6396,0,0,0,1250,0,0,0,0,0,58,203
PR,77291,OURIZONA,102,45.988324175824175,2912,1464,1448,2,0,0,0,1082,0,0,0,1090,0,0,0,0,0,38,125
SP,62677,CABRÁLIA PAULISTA,159,42.74291938997821,3213,1614,1599,1,19,57,256,618,297,8,17,1138,22,2,0,17,2,99,127
PR,74853,CÂNDIDO DE ABREU,106,44.09278258542243,11209,5484,5725,2,0,0,0,4202,0,0,0,4674,0,0,0,0,0,195,413
SP,64114,FERNANDÓPOLIS,150,46.73781721045602,52410,27545,24829,2,0,0,0,9414,0,0,0,24660,0,0,0,0,0,1032,3115
SP,70670,SANTO EXPEDITO,182,47.481494920174164,2756,1389,1367,1,10,3,100,483,238,5,40,987,20,0,0,7,3,66,115
MG,46477,ITAJUBÁ,134,44.81000715189525,72708,37904,34784,1,236,424,5268,5170,2424,218,454,35343,2719,16,38,494,48,1409,2916
SP,62197,BAURU,23,47.5160240952462,105747,56573,48765,2,0,0,0,18347,0,0,0,54462,0,0,0,0,0,2361,6075
GO,95010,NOVO BRASIL,79,46.07682333873582,3085,1560,1525,1,7,11,137,784,151,4,78,1198,65,0,0,6,0,38,130
RS,87750,PAIM FILHO,95,47.06570896515031,3759,1856,1903,1,9,2,115,1292,104,2,54,1377,42,1,0,9,0,73,84
