SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
AL,27057,ARAPIRACA,22,40.52846039804124,89039,48625,40414,1,252,532,10554,25101,2901,290,1871,24089,501,12,22,525,26,2024,3989
AL,27057,ARAPIRACA,55,42.07459673543153,52015,29244,22771,1,162,303,6737,11565,1758,177,987,17093,463,6,10,346,15,1057,2343
AL,27057,ARAPIRACA,55,42.07459673543153,52015,29244,22771,2,0,0,0,19171,0,0,0,19842,0,0,0,0,0,738,2456
AL,27065,JEQUIÁ DA PRAIA,18,39.729350220264315,7264,3585,3679,1,15,67,366,2218,197,25,144,2188,14,1,0,35,2,129,314
AL,27065,JEQUIÁ DA PRAIA,18,39.729350220264315,7264,3585,3679,2,0,0,0,2639,0,0,0,2184,0,0,0,0,0,60,262
AL,27073,ATALAIA,6,40.39039741646346,30353,15626,14727,2,0,0,0,13524,0,0,0,6287,0,0,0,0,0,380,1135
AL,27081,CAMPESTRE,53,38.999809523809525,5250,2663,2587,2,0,0,0,2594,0,0,0,745,0,0,0,0,0,69,209
AL,27090,BARRA DE SANTO ANTÔNIO,17,39.37129144851658,11460,5951,5509,1,21,121,429,4035,312,38,215,2608,31,3,1,57,2,326,596
AL,27090,BARRA DE SANTO ANTÔNIO,17,39.37129144851658,11460,5951,5509,2,0,0,0,4923,0,0,0,2893,0,0,0,0,0,121,480
AL,27111,BARRA DE SÃO MIGUEL,26,40.06914153132251,6465,3346,3119,1,34,70,388,1796,270,37,117,2105,25,3,2,57,0,124,322
AL,27111,BARRA DE SÃO MIGUEL,26,40.06914153132251,6465,3346,3119,2,0,0,0,2346,0,0,0,2400,0,0,0,0,0,78,267
AL,27138,BATALHA,29,39.87150837988827,12173,6468,5705,2,0,0,0,6261,0,0,0,2072,0,0,0,0,0,93,378
AL,27154,BELÉM,28,41.44891576313594,4796,2477,2319,1,4,25,164,2123,110,15,160,672,17,0,2,33,0,117,228
AL,27170,BELO MONTE,29,39.690884300740166,5134,2611,2523,1,5,32,164,2744,73,13,125,450,13,0,1,24,1,47,139
AL,27197,BOCA DA MATA,48,40.78674174558485,19536,10070,9466,1,61,138,918,6163,303,55,357,3999,126,3,2,78,3,452,969
AL,27235,CACIMBINHAS,46,41.472090705208075,8026,4258,3768,2,0,0,0,4166,0,0,0,1125,0,0,0,0,0,51,245
AL,27294,CAMPO GRANDE,20,39.871977414999385,8148,4184,3964,1,6,37,470,4078,107,12,194,684,13,1,2,13,1,134,343
AL,27316,CANAPI,27,40.74959969500572,13116,6783,6333,1,14,19,445,6931,98,10,329,809,25,0,0,32,9,137,489
AL,27316,CANAPI,27,40.74959969500572,13116,6783,6333,2,0,0,0,7618,0,0,0,905,0,0,0,0,0,70,327
AL,27359,CARNEIROS,19,38.771680857773575,6342,3314,3028,2,0,0,0,3873,0,0,0,547,0,0,0,0,0,27,202
AL,27375,CHÃ PRETA,28,40.12180143295804,5862,2979,2883,2,0,0,0,2994,0,0,0,788,0,0,0,0,0,38,256
AL,27391,COITÉ DO NÓIA,45,40.67370807972312,8380,4296,4084,1,16,23,590,4036,123,13,191,786,48,1,0,23,3,113,375
AL,27391,COITÉ DO NÓIA,45,40.67370807972312,8380,4296,4084,2,0,0,0,5010,0,0,0,964,0,0,0,0,0,63,293
AL,27413,COLÔNIA LEOPOLDINA,16,39.33799424633706,14949,7561,7388,1,21,156,892,4274,386,36,267,3241,26,6,3,43,5,326,887
AL,27413,COLÔNIA LEOPOLDINA,16,39.33799424633706,14949,7561,7388,2,0,0,0,5582,0,0,0,3559,0,0,0,0,0,118,643
AL,27430,COQUEIRO SECO,8,40.83659555751045,4547,2336,2211,2,0,0,0,2016,0,0,0,1265,0,0,0,0,0,76,253
AL,27456,CORURIPE,7,40.21359577182431,38411,19891,18520,1,72,257,1746,8377,1356,88,803,12003,127,8,5,284,7,1043,2669
AL,27472,DELMIRO GOUVEIA,40,41.027857932633964,37082,19706,17376,1,32,235,2631,18820,292,57,752,3683,150,3,4,99,6,391,1355
AL,27472,DELMIRO GOUVEIA,40,41.027857932633964,37082,19706,17376,2,0,0,0,22523,0,0,0,4009,0,0,0,0,0,200,1065
AL,27499,DOIS RIACHOS,46,40.16643192488263,8522,4279,4243,1,5,8,424,3903,90,10,200,914,16,1,1,12,0,74,335
AL,27537,FELIZ DESERTO,7,40.50556206088993,3416,1788,1628,1,7,14,123,1239,97,9,89,586,2,2,1,8,1,65,187
AL,27553,FLEXEIRAS,53,40.01121738103672,8469,4372,4097,2,0,0,0,2780,0,0,0,2526,0,0,0,0,0,79,384
AL,27570,GIRAU DO PONCIANO,44,40.00074983227436,25339,13201,12138,1,34,105,1318,13137,246,36,504,1880,24,6,0,73,3,377,901
AL,27570,GIRAU DO PONCIANO,44,40.00074983227436,25339,13201,12138,2,0,0,0,15898,0,0,0,2338,0,0,0,0,0,174,663
AL,27596,IBATEGUARA,16,39.35515761984704,10722,5479,5243,2,0,0,0,4865,0,0,0,2464,0,0,0,0,0,109,513
AL,27618,IGACI,45,41.33807570486526,19259,10131,9128,2,0,0,0,11111,0,0,0,1901,0,0,0,0,0,146,553
AL,27650,INHAPI,39,40.63219512195122,12301,6560,5741,2,0,0,0,7102,0,0,0,918,0,0,0,0,0,92,352
AL,27677,JACARÉ DOS HOMENS,29,39.46463798530955,4766,2466,2300,1,12,9,235,2613,47,17,99,390,12,0,0,9,0,38,158
AL,27693,JACUÍPE,14,39.082095096582464,5384,2633,2751,1,16,49,345,2443,80,5,114,672,5,1,1,10,2,95,246
AL,27693,JACUÍPE,14,39.082095096582464,5384,2633,2751,2,0,0,0,2736,0,0,0,715,0,0,0,0,0,35,186
AL,27715,JAPARATINGA,14,39.9617209743752,6323,3215,3108,1,10,76,191,1688,215,11,134,1900,17,2,1,30,1,180,415
AL,27715,JAPARATINGA,14,39.9617209743752,6323,3215,3108,2,0,0,0,2066,0,0,0,1962,0,0,0,0,0,82,306
AL,27774,JUNDIÁ,14,39.33667861409797,4185,2048,2137,1,7,16,251,1283,114,17,98,850,18,4,0,13,1,92,236
AL,27774,JUNDIÁ,14,39.33667861409797,4185,2048,2137,2,0,0,0,1547,0,0,0,855,0,0,0,0,0,24,163
AL,27790,JUNQUEIRO,34,40.65422137847387,18963,9756,9207,1,32,94,1316,6993,340,43,490,3144,106,2,5,44,2,403,705
AL,27812,LAGOA DA CANOA,44,40.39761753718193,14189,7463,6726,2,0,0,0,8222,0,0,0,2297,0,0,0,0,0,168,471
AL,27839,LIMOEIRO DE ANADIA,47,39.69195415342715,17625,9321,8304,2,0,0,0,9971,0,0,0,2362,0,0,0,0,0,160,561
AL,27855,MACEIÓ,1,42.39337346496509,103829,57763,46066,1,483,945,13478,13014,3174,810,1304,43792,2027,24,36,1630,45,2074,4961
AL,27855,MACEIÓ,1,42.39337346496509,103829,57763,46066,2,0,0,0,28747,0,0,0,50371,0,0,0,0,0,1704,5556
AL,27855,MACEIÓ,3,41.81898922242196,121834,67795,54039,1,441,2183,10645,20726,5466,1048,2322,44918,713,48,33,1794,63,3865,9136
AL,27855,MACEIÓ,3,41.81898922242196,121834,67795,54039,2,0,0,0,36914,0,0,0,53306,0,0,0,0,0,2085,8054
AL,27855,MACEIÓ,33,40.58318666528626,96593,52981,43612,2,0,0,0,25867,0,0,0,41208,0,0,0,0,0,1658,5949
AL,27855,MACEIÓ,54,39.709162388341944,120572,66449,54123,1,314,2007,9605,18562,4125,983,2020,42143,714,35,28,1653,46,3270,7618
AL,27855,MACEIÓ,54,39.709162388341944,120572,66449,54123,2,0,0,0,33730,0,0,0,50922,0,0,0,0,0,1971,7154
AL,27871,MAJOR ISIDORO,31,41.423271969433834,14396,7540,6856,1,20,35,629,6328,231,34,312,2220,54,2,1,37,3,206,690
AL,27898,MARAGOGI,14,39.126571457306646,19888,10416,9472,1,32,190,1001,4610,614,35,402,6551,38,1,2,104,5,611,1147
AL,27898,MARAGOGI,14,39.126571457306646,19888,10416,9472,2,0,0,0,6265,0,0,0,7462,0,0,0,0,0,258,954
AL,27936,MARECHAL DEODORO,26,40.413667260976155,35900,18942,16958,1,74,356,2073,7480,1483,217,795,12298,129,12,13,300,23,908,1846
AL,27952,MARIBONDO,48,41.8641734205644,10241,5525,4716,1,35,31,592,3911,195,15,199,1971,36,1,3,30,2,257,605
AL,27952,MARIBONDO,48,41.8641734205644,10241,5525,4716,2,0,0,0,4667,0,0,0,2017,0,0,0,0,0,118,486
AL,27979,MAR VERMELHO,5,41.123007518796996,3325,1677,1648,2,0,0,0,1788,0,0,0,563,0,0,0,0,0,22,110
AL,27995,MATA GRANDE,27,40.63781118174796,16836,8671,8165,2,0,0,0,9558,0,0,0,1537,0,0,0,0,0,109,492
AL,28010,MATRIZ DE CAMARAGIBE,12,39.75706851225924,18639,9713,8926,1,24,230,728,5145,710,44,304,5051,26,3,2,77,5,444,855
AL,28037,MESSIAS,9,39.37975382673189,12674,6572,6102,2,0,0,0,5415,0,0,0,3367,0,0,0,0,0,153,420
AL,28053,MINADOR DO NEGRÃO,46,40.85292200738649,4605,2356,2249,2,0,0,0,2607,0,0,0,591,0,0,0,0,0,30,182
AL,28096,MURICI,9,39.78481607096269,19166,9977,9189,2,0,0,0,7965,0,0,0,4584,0,0,0,0,0,268,662
AL,28118,NOVO LINO,53,38.74254599281032,9458,4680,4778,1,14,100,331,2728,325,15,237,2058,29,2,2,32,3,227,433
AL,28118,NOVO LINO,53,38.74254599281032,9458,4680,4778,2,0,0,0,3108,0,0,0,2233,0,0,0,0,0,100,374
AL,28215,OURO BRANCO,50,40.386136197217475,8194,4227,3967,1,10,33,409,4337,107,21,174,727,31,1,4,15,1,92,364
AL,28215,OURO BRANCO,50,40.386136197217475,8194,4227,3967,2,0,0,0,5156,0,0,0,828,0,0,0,0,0,48,239
AL,28258,PALMEIRA DOS ÍNDIOS,10,42.51321401522701,50181,27322,22859,2,0,0,0,23153,0,0,0,11083,0,0,0,0,0,462,2163
